,Song,Artist(s),Writer(s),Original release,Year,My Rating,Notes,Numerical Score,Spotify Plays,log_spotify_plays,ratedness
0,Merry-go-round,ABBA,Benny Andersson  Björn Ulvaeus,"B-side to ""People Need Love"" credited to Björn & Benny",1972,C,The lead singers for the rest of the band are just barely in this song,2,554420,5.743838888510262,0.32814205737394797
1,Santa Rosa,ABBA,Benny Andersson  Björn Ulvaeus,"B-side to ""He Is Your Brother""",1972,C,It's fine,2,500666,5.699548099659844,0.3730339081367191
2,People Need Love,ABBA,Benny Andersson  Björn Ulvaeus,Ring Ring,1973,A,"The first song on this that I really like. It's short but still feels more developed than the others. I like ABBA's basslines quite a bit, and I feel like it's finally here",4,12492127,7.096636390793418,0.9569859962379406
3,"Another Town, Another Train",ABBA,Benny Andersson  Björn Ulvaeus,Ring Ring,1973,B,More of an ABBA sound. But it doesn't hit a real high.,3,1375257,6.138383864167985,0.9282427865290401
4,Disillusion,ABBA,Agnetha Fältskog  Björn Ulvaeus,Ring Ring,1973,B,"Apparently the only song that Angetha wrote for the group, a good ballad, ",3,6435184,6.808560969117986,0.2489708349354789
5,Love Isn't Easy (But It Sure Is Hard Enough),ABBA,Benny Andersson  Björn Ulvaeus,Ring Ring,1973,B,"Starting to feel like ABBA, the instrumentation is more playful, more variation in the vocals, which makes it fun, the marimba is a nice touch, catchy",3,2347109,6.37053325875041,0.6929429364527948
6,Ring Ring,ABBA,Benny Andersson  Björn Ulvaeus  Stig Anderson  Phil Cody  Neil Sedaka,Ring Ring,1973,B,"I was going to dismiss this song to a lower tier, but the two times where they use some minor chords wewre enough to make me like the song again.",3,26670764,7.4260354564934685,-0.37688328183574527
7,She's My Kind of Girl,ABBA,Benny Andersson  Björn Ulvaeus,Ring Ring,1973,B,"First really good intro, the rest of the song is pretty good too",3,77393442,7.88870416192479,-0.8458307766968947
8,I Am Just a Girl,ABBA,Benny Andersson  Björn Ulvaeus  Stig Anderson,Ring Ring,1973,C,"Melancholy trombone, fine",2,1808605,6.257343727140699,-0.19233145822795805
9,"Nina, Pretty Ballerina",ABBA,Benny Andersson  Björn Ulvaeus,Ring Ring,1973,C,"Early version of dancing queen, but with weird sound samples. ",2,1731823,6.238503503125094,-0.17323555709821914
10,He Is Your Brother,ABBA,Benny Andersson  Björn Ulvaeus,Ring Ring,1973,D,Really not my thing,1,2290578,6.359945085194319,-1.29632519989186
11,I Saw It in the Mirror,ABBA,Benny Andersson  Björn Ulvaeus,Ring Ring,1973,D,Doesn't seem like ABBA. Different lead singer. Not different in a good way.,1,560083,5.748252390882921,-0.6763313398040447
12,Me and Bobby and Bobby's Brother,ABBA,Benny Andersson  Björn Ulvaeus,Ring Ring,1973,D,Too much nostalgia that didn't resonate with me,1,578225,5.762096864794568,-0.6903636944507356
13,Rock 'N' Roll Band,ABBA,Benny Andersson  Björn Ulvaeus,Ring Ring,1973,D,I didn't care for the substitution of 'rock' sounds. If you're sad just listen to rock and roll apparently. ,1,551037,5.741180761022994,-0.6691637421937715
14,Hasta Mañana,ABBA,Benny Andersson  Björn Ulvaeus  Stig Anderson,Waterloo,1974,B,The good kind of melancholy,3,16081514,7.206326933149579,-0.15419313570686732
